"t","id","name","active","x","y","z","v","distance","location","terrain type","attractor","occupant_target","last_goal_started","TEMPERATURE","OXYGEN VOLUME FRACTION","CARBON MONOXIDE VOLUME FRACTION","CARBON DIOXIDE VOLUME FRACTION","SOOT VISIBILITY","*FED_TOTAL*"
"s","","","","m","m","m","m/s","m","","","","","","C","mol/mol","mol/mol","mol/mol","m",""
60.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,157.213989,0.184665,0.000682,0.012319,2.692259,0.019957
60.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,155.960464,0.185201,0.000666,0.012040,2.723074,0.016715
61.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,157.892119,0.184514,0.000687,0.012398,2.678895,0.020524
61.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,156.555505,0.185079,0.000670,0.012104,2.711960,0.017260
62.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,165.250212,0.182822,0.000737,0.013280,2.530842,0.021127
62.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,161.960554,0.183943,0.000704,0.012696,2.610005,0.017821
63.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,166.470156,0.182513,0.000746,0.013441,2.510451,0.021725
63.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,159.048619,0.184466,0.000688,0.012423,2.661556,0.018365
64.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,165.831228,0.183163,0.000727,0.013102,2.583395,0.022318
64.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,155.342388,0.185142,0.000668,0.012071,2.726344,0.018899
65.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,177.117142,0.181240,0.000784,0.014105,2.451190,0.022933
65.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,153.599396,0.185656,0.000653,0.011803,2.801405,0.019425
66.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,176.955827,0.181221,0.000785,0.014114,2.448080,0.023584
66.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,153.066530,0.185787,0.000649,0.011735,2.817007,0.019916
67.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,171.999773,0.181555,0.000775,0.013940,2.454159,0.024203
67.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,148.389267,0.186988,0.000613,0.011109,2.954454,0.020393
68.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,160.620586,0.183306,0.000723,0.013028,2.577285,0.024795
68.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,153.735810,0.185912,0.000645,0.011669,2.820708,0.020905
69.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,159.121951,0.183382,0.000720,0.012988,2.573148,0.025387
69.000000,1,"00003",0,5.014450,1.727794,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,162.084789,0.183995,0.000702,0.012669,2.620623,0.021458
70.000000,0,"00002",0,4.960098,0.806825,0.000000,0.000000,0.000000,"Floor 0.0 m->Room00","level",,,0,167.294357,0.181789,0.000768,0.013818,2.441886,0.026021
